Fecha,Pronostico,Temperatura maxima,Temperatura minima,Probabilidad de lluvia,Viento en el dia,Direccion viento dia,Viento en la noche,Direccion viento noche,Humedad dia,Humedad noche,Indice UV dia,Indice UV noche,Amanecer,Puesta solar,Salida lunar,Puesta lunar,Fase lunar
mar 08,Parcialmente nublado,40,27,3,13,ONO ,28,ONO ,27,28,Extremo,0 de 11,06:25:00,19:56:00,,13:59:00,Menguante
mie 09,Parcialmente nublado,40,27,5,16,ONO ,26,O ,25,29,Extremo,0 de 11,06:26:00,19:55:00,00:33:00,15:02:00,Cuarto menguante
jue 10,Parcialmente nublado,39,26,4,15,ONO ,23,OSO ,26,35,Extremo,0 de 11,06:27:00,19:54:00,01:14:00,16:03:00,Cuarto menguante
vie 11,Parcialmente nublado,38,25,11,13,O ,19,O ,29,36,10 de 11,0 de 11,06:27:00,19:53:00,01:59:00,17:00:00,Cuarto menguante
sab 12,Parcialmente nublado,38,25,15,11,O ,15,SO ,30,39,Extremo,0 de 11,06:28:00,19:52:00,02:50:00,17:52:00,Cuarto menguante
dom 13,Mayormente soleado,38,25,14,10,SSE ,13,N ,33,35,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
lun 14,Soleado,39,25,9,16,ESE ,18,E ,26,26,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
mar 15,Parcialmente nublado,39,26,2,14,ESE ,14,ESE ,24,26,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
mie 16,Soleado,40,26,2,10,SE ,12,ESE ,23,23,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:21:00,Nueva
jue 17,Mayormente soleado,41,27,8,12,SE ,16,SE ,20,24,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
vie 18,Mayormente soleado,40,26,7,13,SE ,16,ESE ,21,29,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:14:00,Nueva visible
sab 19,Parcialmente nublado,39,26,19,16,ESE ,17,ESE ,25,29,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:39:00,Nueva visible
dom 20,Parcialmente nublado,39,26,2,15,SE ,17,ESE ,25,29,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
lun 21,Mayormente soleado,38,25,12,15,SE ,17,ESE ,26,29,10 de 11,0 de 11,06:34:00,19:43:00,11:12:00,22:32:00,Nueva visible
mar 22,Mayormente soleado,38,25,5,15,ESE ,16,ESE ,26,30,10 de 11,0 de 11,06:34:00,19:41:00,12:11:00,23:03:00,Nueva visible
